Puzzles,Strategy
1 7 12 13,S5 Sum-Ratio Adjustment
2 5 8 12,S5 Sum-Ratio Adjustment
7 9 11 12,S5 Sum-Ratio Adjustment
7 8 9 12,S5 Sum-Ratio Adjustment
1 5 5 5,S5 Sum-Ratio Adjustment
3 3 7 7,S5 Sum-Ratio Adjustment
4 6 6 10,S5 Sum-Ratio Adjustment
5 7 9 12,S5 Sum-Ratio Adjustment
4 5 6 12,S5 Sum-Ratio Adjustment
4 6 7 9,S5 Sum-Ratio Adjustment
6 12 12 13,S5 Sum-Ratio Adjustment
4 5 6 11,S5 Sum-Ratio Adjustment
3 5 8 12,S5 Sum-Ratio Adjustment
6 7 8 12,S5 Sum-Ratio Adjustment
7 10 12 13,S5 Sum-Ratio Adjustment
5 6 8 13,S5 Sum-Ratio Adjustment
6 9 9 10,S5 Sum-Ratio Adjustment
7 8 8 13,S5 Sum-Ratio Adjustment
7 8 10 11,S5 Sum-Ratio Adjustment
9 11 12 13,S5 Sum-Ratio Adjustment
2 9 13 13,S5 Sum-Ratio Adjustment
3 8 10 12,S5 Sum-Ratio Adjustment
