id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[[5, 1, 8], [0, 6, 4], [3, 7, 2]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 0, 1]
}","[[1,6,8],[5,0,4],[3,7,2]]","{
  ""direction"": ""CW"",
  ""steps"": 3,
  ""rectangle"": [0, 2, 1, 2]
}"," [[1,2,7],[5,4,0],[3,8,6]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1,4,2],[5,0,7],[3,8,6]]","{
  ""direction"": ""CW"",
  ""steps"": 3,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,4,2],[6,8,3],[7,0,5]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1,2,3],[6,4,5],[7,8,0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 5, 0], [6, 7, 8]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3],[5, 0, 8], [4, 6, 7]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [5, 6, 0], [4, 7, 8]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",,,,,,,,,,,,
2,"[[5, 6, 8], [2, 3, 1], [0, 7, 4]]","{
  ""direction"": ""CCW"",
  ""steps"": 3,
  ""rectangle"": [0, 2, 0, 2]
}","[[1,4,7], [8,3,0], [6,5,2]]","{
  ""direction"": ""CW"",
  ""steps"": 3,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 5], [8, 0, 3], [6, 7, 4]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 5], [8, 7, 0], [6, 4, 3]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 7, 2], [8, 0, 5], [6, 4, 3]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 7, 2], [8, 5, 3], [6, 0, 4]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 3], [8, 7, 4], [6, 5, 0]]","{
  ""direction"": ""CCW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 0, 5], [7, 8, 6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",R,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",,,,,,,,,,,,
3,"[[6, 7, 3], [4, 8, 0], [1, 5, 2]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [0, 2, 0, 2]
}","[[1,4,6],[5,8,7],[2,0,3]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,4,6],[8,7,3],[5,2,0]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 7], [8, 0, 4], [5, 3, 6]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 0, 2], [8, 4, 7], [5, 3, 6]]",D,"[[1, 4, 2], [8, 0, 7], [5, 3, 6]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,4,2],[8,6,3],[5,7,0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1,2,3],[8,4,0],[5,6,7]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 0, 7], [8, 5, 6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}","[[1, 2, 3], [0, 5, 7], [4, 8, 6]]",R,"[[1, 2, 3], [5, 0, 7], [4, 8, 6]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [5, 6, 8], [4, 7, 0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",R,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",,,,
4,"[[7, 5, 4], [1, 6, 2], [8, 0, 3]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 0, 1]
}"," [[1, 7, 4], [8, 5, 2], [0, 6, 3]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 7, 4], [5, 2, 3], [8, 0, 6]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 7], [5, 0, 4], [8, 6, 3]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 0, 2], [5, 4, 7], [8, 6, 3]]",D," [[1, 4, 2], [5, 0, 7], [8, 6, 3]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}"," [[1,2,3],[5,4,6],[8,7,0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 6, 0], [5, 8, 7]]","{""direction"": ""CCW"", ""steps"": 1, ""rectangle"": [1, 2, 1, 2]}","[[1, 2, 3], [4, 0, 7], [5, 6, 8]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}","[[1, 2, 3], [0, 6, 7], [4, 5, 8]]",R,"[[1, 2, 3], [6, 0, 7], [4, 5, 8]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[6,8,5],[4,7,0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,2,3],[4,6,8],[7,0,5]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[4,5,0],[7,8,6]]",D,"[[1,2,3],[4,5,6],[7,8,0]]",,
5,"[[8, 4, 0], [5, 7, 2], [3, 6, 1]]","{
  ""direction"": ""CCW"",
  ""steps"": 4,
  ""rectangle"": [0, 2, 0, 2]
}"," [[1, 6, 3], [2, 7, 5], [0, 4, 8]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 6, 3], [4, 0, 2], [8, 5, 7]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 2, 0], [4, 3, 6], [8, 5, 7]]",D,"[[1, 2, 6], [4, 3, 0], [8, 5, 7]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 6], [4, 0, 7], [8, 3, 5]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 0, 2], [4, 7, 6], [8, 3, 5]]",D,"[[1, 7, 2], [4, 0, 6], [8, 3, 5]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 7, 2], [4, 5, 3], [8, 6, 0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 3], [4, 7, 0], [8, 5, 6]]","{""direction"": ""CCW"", ""steps"": 2, ""rectangle"": [1, 2, 1, 2]}"," [[1,2,3], [4,6,5], [8,0,7]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}","[[1,2,3],[6,0,5],[4,8,7]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [6, 8, 0], [4, 7, 5]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 6, 8], [7, 5, 0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",R,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]"
6,"[[7, 4, 2], [3, 8, 5], [0, 6, 1]]","{
  ""direction"": ""CW"",
  ""steps"": 4,
  ""rectangle"": [0, 2, 0, 2]
}","[[1, 6, 0], [5, 8, 3], [2, 4, 7]]",D,"[[1, 6, 3], [5, 8, 0], [2, 4, 7]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 6, 3], [8, 0, 7], [5, 2, 4]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 0], [8, 4, 6], [5, 7, 3]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 4, 2], [8, 6, 0], [5, 7, 3]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 4, 2], [8, 0, 3], [5, 6, 7]]",R,"[[1, 2, 3], [8, 4, 0], [5, 6, 7]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 0, 7], [8, 5, 6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}"," [[1, 2, 3], [0, 5, 7], [4, 8, 6]]",R,"[[1, 2, 3], [5, 0, 7], [4, 8, 6]]","{
  ""direction"": ""CCW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [5, 6, 8], [4, 7, 0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",R,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",,,,
7,"[[1, 2, 5], [0, 7, 4], [8, 3, 6]]",R,"[[1, 2, 5], [7, 0, 4], [8, 3, 6]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 0, 2], [7, 4, 5], [8, 3, 6]]",D,"[[1, 4, 2], [7, 0, 5], [8, 3, 6]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,4,2],[7,6,3],[8,5,0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1,2,3],[7,4,0],[8,6,5]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,2,3],[4,0,5],[7,8,6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[4,5,6],[7,0,8]]",R,"[[1,2,3],[4,5,6],[7,8,0]]",,,,,,,,,,,,,,
8,"[[6, 2, 5], [4, 1, 8], [0, 7, 3]]","{
  ""direction"": ""CCW"",
  ""steps"": 2,
  ""rectangle"": [0, 2, 0, 1]
}","[[1,7,5],[2,0,8],[6,4,3]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,7,5],[6,2,0],[4,3,8]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1,2,7],[6,0,5],[4,3,8]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1,0,2],[6,5,7],[4,3,8]]",D,"[[1,5,2],[6,0,7],[4,3,8]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,5,2],[6,8,3],[4,7,0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1,2,3],[6,5,0],[4,8,7]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}"," [[1,2,3],[4,6,5],[8,7,0]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[4,0,7],[8,5,6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}","[[1,2,3],[0,5,7],[4,8,6]]",R,"[[1,2,3],[5,0,7],[4,8,6]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [5, 6, 8], [4, 7, 0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",R,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",,
9,"[[0, 5, 2], [8, 6, 7], [3, 4, 1]]","{
  ""direction"": ""CW"",
  ""steps"": 4,
  ""rectangle"": [0, 2, 0, 2]
}","[[1, 4, 3], [7, 6, 8], [2, 5, 0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 4, 3], [6, 8, 0], [7, 2, 5]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [0, 2, 1, 2]
}","[[1,2,8],[6,5,4],[7,0,3]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 8], [6, 0, 5], [7, 3, 4]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 0, 2], [6, 5, 8], [7, 3, 4]]",D,"[[1,5,2],[6,0,8],[7,3,4]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}"," [[1,5,2],[6,4,3],[7,8,0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1,2,3],[6,5,0],[7,4,8]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,2,3],[4,7,6],[8,0,5]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[4,0,7],[8,5,6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}","[[1,2,3],[0,5,7],[4,8,6]]",R,"[[1,2,3],[5,0,7],[4,8,6]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [5, 6, 8], [4, 7, 0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",R,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]"
10,"[[0, 8, 1], [3, 5, 6], [4, 7, 2]]","{
  ""direction"": ""CCW"",
  ""steps"": 2,
  ""rectangle"": [0, 1, 0, 2]
}","[[1, 6, 5], [8, 0, 3], [4, 7, 2]]","{
  ""direction"": ""CW"",
  ""steps"": 3,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 7], [8, 3, 0], [4, 5, 6]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1, 2, 7], [3, 0, 6], [8, 4, 5]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [0, 1, 1, 2]
}","[[1, 0, 2], [3, 6, 7], [8, 4, 5]]",D,"[[1, 6, 2], [3, 0, 7], [8, 4, 5]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 0, 2]
}"," [[1, 6, 2], [4, 8, 3], [5, 7, 0]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [0, 2, 1, 2]
}","[[1, 2, 3], [4, 6, 0], [5, 8, 7]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 1, 2]
}","[[1, 2, 3], [4, 0, 7], [5, 6, 8]]","{
  ""direction"": ""CCW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 1]
}","[[1, 2, 3], [0, 6, 7], [4, 5, 8]]",R,"[[1, 2, 3], [6, 0, 7], [4, 5, 8]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[6,8,5],[4,7,0]]","{
  ""direction"": ""CW"",
  ""steps"": 1,
  ""rectangle"": [1, 2, 0, 2]
}","[[1,2,3],[4,6,8],[7,0,5]]","{
  ""direction"": ""CW"",
  ""steps"": 2,
  ""rectangle"": [1, 2, 1, 2]
}","[[1,2,3],[4,5,0],[7,8,6]]",D,"[[1,2,3],[4,5,6],[7,8,0]]",,
